file_name,speaker,usability,xds,interval_start,interval_end,pitch_min,pitch_max,pitch_mean,pitch_sd,F0_00,F0_05,F0_10,F0_15,F0_20,F0_25,F0_30,F0_35,F0_40,F0_45,F0_50,F0_55,F0_60,F0_65,F0_70,F0_75,F0_80,F0_85,F0_90,F0_95,F0_100
85_20210120,FA1,0.,C,157.723,158.131,112.78827088058785 Hz,600.4513029470795 Hz,332.24830402272585 Hz,161.78441051908874 Hz,--undefined--,--undefined--,--undefined--,365.20311196599465,405.01441876749533,440.560653746542,545.5485198808879,567.2697677236889,292.68703449045137,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,117.40138610438751,114.22753278117024,116.14225680035649,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,158.279,159.5,106.35640642053276 Hz,385.6021372160418 Hz,192.84643413587006 Hz,98.24866859178651 Hz,--undefined--,--undefined--,--undefined--,--undefined--,348.87331125619454,374.5594609777046,--undefined--,124.52595759338293,--undefined--,--undefined--,--undefined--,380.7191025169724,138.02469373898515,106.45217961336459,139.267949787026,138.63995459886604,193.63545326833042,169.80675664894508,146.53059689696312,--undefined--,--undefined--,
85_20210120,FA1,0.,C,160.819,163.176,143.37699455197543 Hz,382.9895295596739 Hz,168.22799896377245 Hz,43.8543147338605 Hz,--undefined--,158.3904187697523,159.05668684198514,157.27285863274054,173.57073181708574,--undefined--,156.42131593338183,146.7588430438187,--undefined--,152.16261460156252,176.06258483659107,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,164.104,165.053,100.4640245045175 Hz,298.63328803359235 Hz,174.3052402932334 Hz,77.56098800019517 Hz,--undefined--,--undefined--,--undefined--,148.62229839041336,150.39347373281825,143.80154404356128,137.45213962752507,--undefined--,--undefined--,--undefined--,292.46438184297983,284.44897970981447,283.0948688661399,289.67436171671756,--undefined--,101.27088279153753,102.09348930582318,103.84054079888936,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,167.103,168.879,289.0129542979209 Hz,323.1285596501404 Hz,310.50557498268506 Hz,11.923603722599733 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,294.23344108368036,306.693205903027,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,171.057,172.588,106.94344211984111 Hz,553.1471641173348 Hz,256.74851177016683 Hz,176.07410124732667 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,123.15050834316337,--undefined--,120.66848409240305,116.07689625356046,491.53482020580816,465.51785465408994,107.68721875756238,--undefined--,--undefined--,
85_20210120,FA1,0.,C,172.725,173.021,110.52841568191512 Hz,366.13496065624827 Hz,245.23120458726635 Hz,115.30887963876111 Hz,--undefined--,303.51836619789736,306.71003064210817,327.0765191284574,339.30016361483246,351.8001735073769,363.30197864947354,362.89426103947517,363.82286958260477,355.29808982566624,--undefined--,--undefined--,--undefined--,113.31929870139534,120.77437433924425,120.14682325267393,116.52994671304671,116.01307291134347,114.52370829432834,118.26665093050177,--undefined--,
85_20210120,FA1,0.,C,174.398,175.072,100.481397834132 Hz,193.85098911040936 Hz,127.95912457336473 Hz,26.615836059525474 Hz,--undefined--,114.73981311194457,110.04679274130635,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,105.05074095590057,100.54155924862164,--undefined--,--undefined--,--undefined--,122.5328050316393,120.31796729076244,--undefined--,--undefined--,174.64404933994558,161.36421231280528,--undefined--,--undefined--,
85_20210120,FA1,0.,C,176.158,176.464,108.24507800378794 Hz,485.0356447125038 Hz,366.2642201921135 Hz,157.26941821383602 Hz,--undefined--,471.8913321702981,463.043714175859,470.7002152792436,460.858518890029,468.3318551071317,473.17231265213985,463.97502716225574,469.7015157675653,450.80695132788867,448.3924782558001,442.8330461438669,468.38940762433083,452.8578920997352,--undefined--,117.29725671040684,111.90168815349871,117.87841810253796,119.82804484415266,119.49905856267607,--undefined--,
85_20210120,FA1,0.,C,176.632,176.959,119.61919466232482 Hz,371.3943440639299 Hz,319.733896174719 Hz,72.86876891685102 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,312.11296972707373,333.26297544984607,341.8905569056693,363.4991851314589,369.5578764742675,350.8755732631463,333.91098550449004,338.00227221421886,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,119.61919466232482,--undefined--,--undefined--,
85_20210120,FA1,0.,C,177.279,178.636,111.04325958696784 Hz,348.55464899917274 Hz,237.7331049311058 Hz,98.12905134914837 Hz,--undefined--,--undefined--,119.55155367880624,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,126.71104447509344,--undefined--,--undefined--,280.14255658594544,117.37482193551824,--undefined--,314.70254454386895,348.32352571977407,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,186.9,187.768,99.82136031186174 Hz,300.10797053957407 Hz,223.58548998873792 Hz,45.440184372712224 Hz,--undefined--,--undefined--,271.21142193828774,291.18620431770245,286.07160918451535,271.1867333192816,253.09793926913156,228.54202894731282,198.76718003506596,194.19599852954443,211.285900713914,194.02868191938728,--undefined--,208.54546721302904,216.18912055015275,179.51367513916537,215.44708303003895,192.2340279805605,208.5902626962378,--undefined--,--undefined--,
